Order_ID,AWB_Code,TTL_WT_X_kg,weight_slab,Charged_Weight,weight_slab_Y,ZoneX,Zone,BillingAmount_Rs
2001807785,1091117326424,0.5,1,0.68,1,b,d,90.2
2001807852,1091117326925,0.5,1,0.74,1,b,d,90.2
2001807970,1091117327474,0.765,1,4.13,4,b,d,403.8
2001807329,1091117333100,0.5,1,0.73,1,b,d,90.2
2001807613,1091117333251,0.83,1,1.04,1.5,b,d,135
2001808475,1091117436346,0.5,1,0.7,1,b,d,90.2
2001808801,1091117437680,0.731,1,0.8,1,b,d,90.2
2001808585,1091117436652,0.5,1,0.72,1,e,b,61.3
2001808679,1091117437035,0.5,1,0.72,1,b,d,90.2
2001808739,1091117437293,0.22,0.5,1.63,2,b,d,179.8
2001808832,1091117437864,0.6,1,2.47,3,b,d,224.6
2001808837,1091117437890,0.5,1,0.67,1,b,d,90.2
2001808286,1091117435602,0.601,1,0.77,1,b,d,90.2
2001812195,1091118442390,0.5,1,0.67,1,b,d,90.2
2001808883,1091117438074,0.5,1,0.72,1,b,d,90.2
2001808992,1091117611501,0.5,1,0.72,1,b,d,90.2
2001809270,1091117613962,0.5,1,0.68,1,b,d,90.2
2001809934,1091117803511,0.361,0.5,0.82,1,b,d,90.2
2001810125,1091117804314,0.5,1,0.66,1,b,d,90.2
2001811058,1091117905022,0.5,1,0.72,1,b,d,90.2
2001810281,1091117805390,0.5,1,0.68,1,b,d,90.2
2001811306,1091117958163,0.945,1,1.1,1.5,b,d,135
2001810549,1091117806263,0.986,1.5,1.86,2,b,d,179.8
2001806304,1091117222360,0.5,1,0.71,1,b,d,90.2
2001816131,1091119367193,0.554,1,0.7,1,b,d,90.2
2001815688,1091119169701,0.22,0.5,0.2,0.5,b,d,45.4
2001810697,1091117807140,0.607,1,2.27,2.5,b,d,224.6
2001811305,1091121846136,0.75,1,0.5,1,b,d,45.4
2001811039,1091117904860,0.488,1,0.68,1,b,d,90.2
2001811058,1091117905022,0.5,1,0.72,1,b,d,90.2
2001810281,1091117805390,0.5,1,0.68,1,b,d,90.2
2001811306,1091117958163,0.945,1,1.1,1.5,b,d,135
2001810549,1091117806263,0.986,1.5,1.86,2,b,d,179.8
2001806304,1091117222360,0.5,1,0.71,1,b,d,90.2
2001816131,1091119367193,0.554,1,0.7,1,b,d,90.2
2001815688,1091119169701,0.22,0.5,0.2,0.5,b,d,45.4
2001812195,1091118442390,0.5,1,0.67,1,b,d,90.2
2001808883,1091117438074,0.5,1,0.72,1,b,d,90.2
2001812941,1091118551656,0.5,1,0.73,1,b,d,90.2
2001809383,1091117614452,0.607,1,0.5,1,b,d,86.7
2001820978,1091120922803,0.515,1,0.5,1,b,d,45.4
2001811475,1091121844806,0.689,1,0.5,1,e,b,33
2001811604,1091118004245,0.721,1,0.8,1,e,b,61.3
2001811305,1091121846136,0.75,1,0.5,1,b,d,45.4
2001811039,1091117904860,0.488,1,0.68,1,b,d,90.2
